event_id,permno,symbol,entry_date,block,cluster,title
EV-000000,14609,SPWH,2015-02-24,2015-02,10,TheStreetSweeper Releases Brand-New Investigative Report on SPWH
EV-000001,92294,UEC,2015-06-19,2015-06,17,TheStreetSweeper releases its latest report on Uranium Energy Corp.
EV-000002,92294,UEC,2015-07-14,2015-07,10,"The Street Sweeper Moved The Market On La Jolla, But How's Its Overall Success Rate?"
EV-000003,86580,NVDA,2015-07-30,2015-07,10,Cramer Vs. Citron: The Debate Over Ambarella Rages On
EV-000004,86580,NVDA,2015-08-04,2015-08,1,"Global Equities' Trip Chowdhry Sees Tesla Rolling Out Advanced Auto-Pilot, Driver Assistance Software Update Before Aug. 22; Highlights NVIDIA, Mobileye as Cos. Benefiting"
EV-000005,86580,NVDA,2015-08-04,2015-08,14,Macquarie Upgrades NVIDIA to Outperform
EV-000006,92322,ULTA,2015-08-04,2015-08,7,"Deutsche Bank Initiates Coverage on Ulta Salon Cosmetics at Hold, Announces $162.00 PT"
EV-000007,88790,ARRY,2015-08-04,2015-08,5,"Array Biopharma Reports Q4 Loss $0.09 Vs Est Loss $0.16, Sa;es $12.3M Vs Est $10.29M"
EV-000008,85631,ADSK,2015-08-04,2015-08,9,Benzinga's Top #PreMarket Gainers
EV-000009,88790,ARRY,2015-08-04,2015-08,4,Array BioPharma +4% Premarket Following Q4 Results
EV-000010,86580,NVDA,2015-08-04,2015-08,1,"Trip Chowdhry Discusses Tesla's Auto-Pilot & Software Updates, NVIDIA, Mobileye To Benefit"
EV-000011,61241,AMD,2015-08-04,2015-08,1,"PC Market Be Damned, NVIDIA Stock Is A Buy"
EV-000012,86580,NVDA,2015-08-04,2015-08,1,"PC Market Be Damned, NVIDIA Stock Is A Buy"
EV-000013,86580,NVDA,2015-08-04,2015-08,9,Benzinga's Top Upgrades
EV-000014,92322,ULTA,2015-08-04,2015-08,9,Benzinga's Top Initiations
EV-000015,87337,PLUG,2015-08-04,2015-08,0,Option Alert: Plug Sep 4 $3 Call Sweep; 2107 Contracts @Ask @$0.15;
EV-000016,12873,P,2015-08-04,2015-08,18,Piper Jaffray Analysts Like Pandora Stock After Traveling With Company
EV-000017,14040,S,2015-08-04,2015-08,3,"Mid-Day Market Update: Monday's Top 10 Volume Stocks; Frontier Comm, Lexicon, Tyson Foods, and More!"
EV-000018,53613,MU,2015-08-04,2015-08,3,"Mid-Day Market Update: Monday's Top 10 Volume Stocks; Frontier Comm, Lexicon, Tyson Foods, and More!"
EV-000019,53613,MU,2015-08-04,2015-08,1,"Why Deutsche Bank, Credit Suisse Are Still Buying Micron Despite Lower PC Demand/Pricing"
EV-000020,14040,S,2015-08-04,2015-08,17,"Sprint Announces CFO Joseph Euteneuer Resigned; Tarek Robbiati Named as Replacement, John Saw Promoted to Role of Chief Technology Officer, Gunther Ottendorfer Named as COO"
EV-000021,91611,FSLR,2015-08-05,2015-08,6,"Earnings Scheduled For August 4, 2015"
EV-000022,14040,S,2015-08-05,2015-08,5,"Sprint Reports Q1 Loss $0.01, Sales $8B, no estimates"
EV-000023,85631,ADSK,2015-08-05,2015-08,17,William Blair Initiates Coverage on Autodesk at Outperform
EV-000024,75905,GIII,2015-08-05,2015-08,7,"Brean Capital Initiates Coverage on G-III Apparel Group at Hold, Announces $75.00 PT"
EV-000025,14040,S,2015-08-05,2015-08,11,Sprint +6% Premaket Following Q1 Results
EV-000026,89213,WOOF,2015-08-05,2015-08,9,Benzinga's Top #PreMarket Losers
EV-000027,14040,S,2015-08-05,2015-08,11,UPDATE: Sprint +13% Premarket Following Earnings Report
