location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
che,age,monthly,vw_cap,-1,26,1,1986-01-31,0.03610288868818871
che,age,monthly,vw_cap,-1,26,1,1986-02-28,-0.0032333438160283903
che,age,monthly,vw_cap,-1,26,1,1986-03-31,0.037442650559806334
che,age,monthly,vw_cap,-1,26,1,1986-04-30,0.043269859126629534
che,age,monthly,vw_cap,-1,26,1,1986-05-31,-0.01398933745483133
che,age,monthly,vw_cap,-1,26,1,1986-06-30,0.0253515872935368
che,age,monthly,vw_cap,-1,25,1,1986-07-31,-0.0038609512692197555
che,age,monthly,vw_cap,-1,25,1,1986-08-31,0.012867611851527419
che,age,monthly,vw_cap,-1,25,1,1986-09-30,0.005780843440835855
che,age,monthly,vw_cap,-1,25,1,1986-10-31,-0.023668609043784664
che,age,monthly,vw_cap,-1,26,1,1986-11-30,-0.032760306806304526
che,age,monthly,vw_cap,-1,26,1,1986-12-31,-0.02235971698013499
che,age,monthly,vw_cap,-1,26,1,1987-01-31,0.0033108628984883023
che,age,monthly,vw_cap,-1,26,1,1987-02-28,0.00863007622969398
che,age,monthly,vw_cap,-1,26,1,1987-03-31,-0.032583371933892734
che,age,monthly,vw_cap,-1,26,1,1987-04-30,-0.021133736598861152
che,age,monthly,vw_cap,-1,26,1,1987-05-31,-0.003734902495013355
che,age,monthly,vw_cap,-1,26,1,1987-06-30,0.042473613722573585
che,age,monthly,vw_cap,-1,26,1,1987-07-31,0.02062385223298916
che,age,monthly,vw_cap,-1,26,1,1987-08-31,0.0002009478289402844
che,age,monthly,vw_cap,-1,26,1,1987-09-30,-0.019394306864503184
che,age,monthly,vw_cap,-1,26,1,1987-10-31,-0.028176588554908982
che,age,monthly,vw_cap,-1,26,1,1987-11-30,-0.03941555039162883
che,age,monthly,vw_cap,-1,26,1,1987-12-31,-0.01252553214311514
che,age,monthly,vw_cap,-1,25,1,1988-01-31,-0.01398044439329306
che,age,monthly,vw_cap,-1,25,1,1988-02-29,0.021632737788159474
che,age,monthly,vw_cap,-1,26,1,1988-03-31,0.004862351300066485
che,age,monthly,vw_cap,-1,26,1,1988-04-30,-0.013929339405076482
che,age,monthly,vw_cap,-1,26,1,1988-05-31,0.002967911530640667
che,age,monthly,vw_cap,-1,26,1,1988-06-30,0.052377238442436094
che,age,monthly,vw_cap,-1,25,1,1988-07-31,0.03412173384283379
che,age,monthly,vw_cap,-1,25,1,1988-08-31,-0.024826973215076705
che,age,monthly,vw_cap,-1,25,1,1988-09-30,0.0218995853120481
che,age,monthly,vw_cap,-1,25,1,1988-10-31,0.023826181290428988
che,age,monthly,vw_cap,-1,25,1,1988-11-30,-0.35159246345685
che,age,monthly,vw_cap,-1,26,1,1988-12-31,-0.09383064753455496
che,age,monthly,vw_cap,-1,25,1,1989-01-31,-0.003742160596731485
che,age,monthly,vw_cap,-1,43,1,1989-02-28,0.06699738936269711
che,age,monthly,vw_cap,-1,51,1,1989-03-31,0.02043267999366674
che,age,monthly,vw_cap,-1,51,1,1989-04-30,0.007882978944674485
che,age,monthly,vw_cap,-1,51,1,1989-05-31,0.011388573955508713
che,age,monthly,vw_cap,-1,53,1,1989-06-30,-0.14093595371784523
che,age,monthly,vw_cap,-1,53,1,1989-07-31,-0.11557810355622
che,age,monthly,vw_cap,-1,55,3,1989-08-31,-0.09230881555161985
che,age,monthly,vw_cap,-1,55,3,1989-09-30,0.025455322409592068
che,age,monthly,vw_cap,-1,55,3,1989-10-31,-0.010687113656919142
che,age,monthly,vw_cap,-1,54,2,1989-11-30,0.20622685046600747
che,age,monthly,vw_cap,-1,55,3,1989-12-31,-0.009074171552501804
che,age,monthly,vw_cap,-1,56,3,1990-01-31,0.04319923999161068
che,age,monthly,vw_cap,-1,58,3,1990-02-28,-0.02482784631835694
che,age,monthly,vw_cap,-1,58,3,1990-03-31,-0.0031070057640194375
che,age,monthly,vw_cap,-1,58,3,1990-04-30,0.029543649367542058
che,age,monthly,vw_cap,-1,58,1,1990-05-31,-0.16031563092536022
che,age,monthly,vw_cap,-1,58,1,1990-06-30,-0.005192028529511075
che,age,monthly,vw_cap,-1,58,1,1990-07-31,0.03194309072328032
che,age,monthly,vw_cap,-1,58,1,1990-08-31,0.149194131408384
che,age,monthly,vw_cap,-1,58,1,1990-09-30,0.10470483804289776
che,age,monthly,vw_cap,-1,58,1,1990-10-31,-0.035212770577687645
che,age,monthly,vw_cap,-1,58,1,1990-11-30,0.027378217605432093
che,age,monthly,vw_cap,-1,58,1,1990-12-31,0.0045788573108644605
che,age,monthly,vw_cap,-1,58,1,1991-01-31,-0.13156403295622424
