location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
esp,age,monthly,vw_cap,-1,37,3,1986-01-31,-0.005888205756730158
esp,age,monthly,vw_cap,-1,38,3,1986-02-28,-0.10320558261587356
esp,age,monthly,vw_cap,-1,38,3,1986-03-31,-0.2721485680465891
esp,age,monthly,vw_cap,-1,38,3,1986-04-30,0.20574380451631685
esp,age,monthly,vw_cap,-1,39,3,1986-05-31,-0.08905795878339409
esp,age,monthly,vw_cap,-1,39,3,1986-06-30,0.021418631404312983
esp,age,monthly,vw_cap,-1,40,3,1986-07-31,0.02101718449092363
esp,age,monthly,vw_cap,-1,40,3,1986-08-31,-0.022707662513705706
esp,age,monthly,vw_cap,-1,40,3,1986-09-30,0.02160046421789244
esp,age,monthly,vw_cap,-1,40,3,1986-10-31,-0.0010953214676177742
esp,age,monthly,vw_cap,-1,40,3,1986-11-30,0.054835849868323405
esp,age,monthly,vw_cap,-1,40,3,1986-12-31,0.04281490874709637
esp,age,monthly,vw_cap,-1,40,3,1987-01-31,0.22909884416580628
esp,age,monthly,vw_cap,-1,40,3,1987-02-28,0.057430446495706194
esp,age,monthly,vw_cap,-1,39,3,1987-03-31,0.00792542282172809
esp,age,monthly,vw_cap,-1,39,3,1987-04-30,0.1311946551331989
esp,age,monthly,vw_cap,-1,39,3,1987-05-31,0.051544535125133864
esp,age,monthly,vw_cap,-1,39,3,1987-06-30,0.11027152121426331
esp,age,monthly,vw_cap,-1,40,3,1987-07-31,0.1905271405969236
esp,age,monthly,vw_cap,-1,40,3,1987-08-31,0.06251575201115744
esp,age,monthly,vw_cap,-1,40,3,1987-09-30,-0.05928698159967448
esp,age,monthly,vw_cap,-1,39,3,1987-10-31,-0.12294421716517581
esp,age,monthly,vw_cap,-1,39,3,1987-11-30,-0.3071323008607758
esp,age,monthly,vw_cap,-1,39,3,1987-12-31,-0.010099474163603392
esp,age,monthly,vw_cap,-1,46,3,1988-01-31,0.15195840028638113
esp,age,monthly,vw_cap,-1,45,3,1988-02-29,-0.058703142052597905
esp,age,monthly,vw_cap,-1,45,3,1988-03-31,0.15371599852570758
esp,age,monthly,vw_cap,-1,47,3,1988-04-30,0.00012511859999993647
esp,age,monthly,vw_cap,-1,47,3,1988-05-31,-0.06348696978108646
esp,age,monthly,vw_cap,-1,47,3,1988-06-30,0.005209846573902522
esp,age,monthly,vw_cap,-1,47,3,1988-07-31,0.034090763764176885
esp,age,monthly,vw_cap,-1,47,3,1988-08-31,-0.03596144737161065
esp,age,monthly,vw_cap,-1,47,3,1988-09-30,0.042482939805005615
esp,age,monthly,vw_cap,-1,46,3,1988-10-31,-0.07676653919239981
esp,age,monthly,vw_cap,-1,46,3,1988-11-30,-0.014949038467083646
esp,age,monthly,vw_cap,-1,46,3,1988-12-31,-0.0321763437853129
esp,age,monthly,vw_cap,-1,46,3,1989-01-31,0.008575373334674573
esp,age,monthly,vw_cap,-1,67,7,1989-02-28,-0.05019323597755018
esp,age,monthly,vw_cap,-1,80,9,1989-03-31,0.023608128814750266
esp,age,monthly,vw_cap,-1,79,9,1989-04-30,0.09118695977991678
esp,age,monthly,vw_cap,-1,79,9,1989-05-31,-0.04163123304066424
esp,age,monthly,vw_cap,-1,84,10,1989-06-30,-0.014330792369947647
esp,age,monthly,vw_cap,-1,86,10,1989-07-31,-0.05988523716834347
esp,age,monthly,vw_cap,-1,84,10,1989-08-31,-0.0437012935893029
esp,age,monthly,vw_cap,-1,85,10,1989-09-30,-0.0016779147381249804
esp,age,monthly,vw_cap,-1,87,10,1989-10-31,0.020665001341093062
esp,age,monthly,vw_cap,-1,87,10,1989-11-30,-0.02599398547709786
esp,age,monthly,vw_cap,-1,90,10,1989-12-31,0.016645550188225503
esp,age,monthly,vw_cap,-1,92,10,1990-01-31,0.014055943290193967
esp,age,monthly,vw_cap,-1,97,10,1990-02-28,-0.09010676438635451
esp,age,monthly,vw_cap,-1,97,10,1990-03-31,0.0800862525519361
esp,age,monthly,vw_cap,-1,94,10,1990-04-30,-0.007213175866908325
esp,age,monthly,vw_cap,-1,93,10,1990-05-31,-0.0695246638426403
esp,age,monthly,vw_cap,-1,96,11,1990-06-30,-0.08472085087721187
esp,age,monthly,vw_cap,-1,97,11,1990-07-31,-0.06452441584322156
esp,age,monthly,vw_cap,-1,98,11,1990-08-31,-0.07025001696310046
esp,age,monthly,vw_cap,-1,97,11,1990-09-30,-0.026131361457208152
esp,age,monthly,vw_cap,-1,98,11,1990-10-31,-0.06428308455068779
esp,age,monthly,vw_cap,-1,96,11,1990-11-30,0.11772750391919712
esp,age,monthly,vw_cap,-1,97,11,1990-12-31,-0.013496203265477964
esp,age,monthly,vw_cap,-1,103,9,1991-01-31,-0.14475730958647431
esp,age,monthly,vw_cap,-1,105,9,1991-02-28,0.15325778788909322
esp,age,monthly,vw_cap,-1,108,11,1991-03-31,0.12615183747402986
