location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
gbr,age,monthly,vw_cap,-1,634,18,1986-01-31,-0.0009535048814030009
gbr,age,monthly,vw_cap,-1,639,18,1986-02-28,0.017882259339748602
gbr,age,monthly,vw_cap,-1,641,18,1986-03-31,-0.03395997580803381
gbr,age,monthly,vw_cap,-1,636,18,1986-04-30,0.08090407028160582
gbr,age,monthly,vw_cap,-1,628,18,1986-05-31,0.01999907516992412
gbr,age,monthly,vw_cap,-1,628,17,1986-06-30,-0.05006664685638479
gbr,age,monthly,vw_cap,-1,625,14,1986-07-31,0.037616395194033946
gbr,age,monthly,vw_cap,-1,621,14,1986-08-31,-0.06135408716461046
gbr,age,monthly,vw_cap,-1,613,14,1986-09-30,0.036539474688578634
gbr,age,monthly,vw_cap,-1,615,14,1986-10-31,-0.04184391441465271
gbr,age,monthly,vw_cap,-1,616,13,1986-11-30,0.0616126944576456
gbr,age,monthly,vw_cap,-1,615,15,1986-12-31,0.009691504461636705
gbr,age,monthly,vw_cap,-1,613,15,1987-01-31,-0.030250317204962046
gbr,age,monthly,vw_cap,-1,619,15,1987-02-28,-0.01898483264671967
gbr,age,monthly,vw_cap,-1,618,15,1987-03-31,0.07167286100641021
gbr,age,monthly,vw_cap,-1,616,15,1987-04-30,0.08951760442270622
gbr,age,monthly,vw_cap,-1,610,15,1987-05-31,0.041683942076913345
gbr,age,monthly,vw_cap,-1,598,11,1987-06-30,0.0903626457347206
gbr,age,monthly,vw_cap,-1,586,6,1987-07-31,-0.026993699704759344
gbr,age,monthly,vw_cap,-1,723,7,1987-08-31,-0.0012839071356896131
gbr,age,monthly,vw_cap,-1,726,7,1987-09-30,0.02943251783718269
gbr,age,monthly,vw_cap,-1,733,7,1987-10-31,0.03195775465769099
gbr,age,monthly,vw_cap,-1,734,6,1987-11-30,-0.12221758407654423
gbr,age,monthly,vw_cap,-1,736,8,1987-12-31,0.01758007067781578
gbr,age,monthly,vw_cap,-1,749,8,1988-01-31,0.052404162002589044
gbr,age,monthly,vw_cap,-1,755,8,1988-02-29,-0.044084678334253724
gbr,age,monthly,vw_cap,-1,754,8,1988-03-31,0.03149723707630128
gbr,age,monthly,vw_cap,-1,757,8,1988-04-30,0.019735955667846083
gbr,age,monthly,vw_cap,-1,760,8,1988-05-31,0.012225840769745715
gbr,age,monthly,vw_cap,-1,763,9,1988-06-30,0.06068058184975503
gbr,age,monthly,vw_cap,-1,768,9,1988-07-31,0.039323259228661325
gbr,age,monthly,vw_cap,-1,773,8,1988-08-31,-0.026331924071148954
