location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
jpn,age,monthly,vw_cap,-1,1352,20,1986-01-31,0.0039327667000588346
jpn,age,monthly,vw_cap,-1,1352,20,1986-02-28,0.005634287497076368
jpn,age,monthly,vw_cap,-1,1366,20,1986-03-31,-0.13675460637025594
jpn,age,monthly,vw_cap,-1,1359,20,1986-04-30,-0.04010075894619923
jpn,age,monthly,vw_cap,-1,1360,20,1986-05-31,0.08768830790516484
jpn,age,monthly,vw_cap,-1,1369,20,1986-06-30,0.05917806032113611
jpn,age,monthly,vw_cap,-1,1368,20,1986-07-31,-0.018002309167431632
jpn,age,monthly,vw_cap,-1,1370,20,1986-08-31,-0.055369231573567865
jpn,age,monthly,vw_cap,-1,1375,20,1986-09-30,-0.14660422080436994
jpn,age,monthly,vw_cap,-1,1375,20,1986-10-31,-0.03826616607334277
jpn,age,monthly,vw_cap,-1,1375,20,1986-11-30,0.03322374197793798
jpn,age,monthly,vw_cap,-1,1376,20,1986-12-31,0.003661683371020571
jpn,age,monthly,vw_cap,-1,1384,20,1987-01-31,0.08323774113895253
jpn,age,monthly,vw_cap,-1,1382,20,1987-02-28,0.12868739198441617
jpn,age,monthly,vw_cap,-1,1533,27,1987-03-31,0.03674704837232794
jpn,age,monthly,vw_cap,-1,1545,27,1987-04-30,0.01443050917918795
jpn,age,monthly,vw_cap,-1,1549,27,1987-05-31,0.005344974076167658
jpn,age,monthly,vw_cap,-1,1550,27,1987-06-30,0.0710676145302993
jpn,age,monthly,vw_cap,-1,1551,27,1987-07-31,-0.033611603885046325
jpn,age,monthly,vw_cap,-1,1548,27,1987-08-31,0.022004908864568004
jpn,age,monthly,vw_cap,-1,1555,27,1987-09-30,-0.0007011022960651779
jpn,age,monthly,vw_cap,-1,1554,25,1987-10-31,0.1048157351191831
jpn,age,monthly,vw_cap,-1,1555,25,1987-11-30,-0.08545248721078244
jpn,age,monthly,vw_cap,-1,1554,25,1987-12-31,-0.012454714476132694
jpn,age,monthly,vw_cap,-1,1603,26,1988-01-31,-0.011920067961370948
jpn,age,monthly,vw_cap,-1,1606,26,1988-02-29,-0.058971786258828096
jpn,age,monthly,vw_cap,-1,1614,26,1988-03-31,0.017095216920427328
jpn,age,monthly,vw_cap,-1,1621,26,1988-04-30,0.03012247194357743
jpn,age,monthly,vw_cap,-1,1624,26,1988-05-31,0.1845225697757194
jpn,age,monthly,vw_cap,-1,1627,26,1988-06-30,0.1047875389296099
jpn,age,monthly,vw_cap,-1,1628,26,1988-07-31,-0.03620186111895414
jpn,age,monthly,vw_cap,-1,1627,26,1988-08-31,-0.036723271576587606
jpn,age,monthly,vw_cap,-1,1628,26,1988-09-30,0.09365397402438604
jpn,age,monthly,vw_cap,-1,1627,26,1988-10-31,0.09043856247119123
jpn,age,monthly,vw_cap,-1,1629,26,1988-11-30,0.09730242959154292
jpn,age,monthly,vw_cap,-1,1635,26,1988-12-31,-0.17095131550163584
jpn,age,monthly,vw_cap,-1,1647,26,1989-01-31,-0.01750796518872748
jpn,age,monthly,vw_cap,-1,1650,26,1989-02-28,-0.06086506498218587
jpn,age,monthly,vw_cap,-1,1652,26,1989-03-31,-0.027200870398337077
jpn,age,monthly,vw_cap,-1,1657,26,1989-04-30,0.11923884109627347
jpn,age,monthly,vw_cap,-1,1662,26,1989-05-31,0.036313888382677434
jpn,age,monthly,vw_cap,-1,1661,25,1989-06-30,-0.06704585989128453
jpn,age,monthly,vw_cap,-1,1661,25,1989-07-31,0.007992692169190962
jpn,age,monthly,vw_cap,-1,1661,25,1989-08-31,-0.03745197549208263
jpn,age,monthly,vw_cap,-1,1661,25,1989-09-30,-0.007981387970928983
jpn,age,monthly,vw_cap,-1,1662,25,1989-10-31,0.051273618715594604
jpn,age,monthly,vw_cap,-1,1660,25,1989-11-30,0.01527910661254768
jpn,age,monthly,vw_cap,-1,1662,25,1989-12-31,0.029233178583358724
jpn,age,monthly,vw_cap,-1,1667,25,1990-01-31,-0.017067770850342764
jpn,age,monthly,vw_cap,-1,1671,25,1990-02-28,0.02782187272832795
jpn,age,monthly,vw_cap,-1,1680,25,1990-03-31,-0.035218564142893705
jpn,age,monthly,vw_cap,-1,1680,25,1990-04-30,-0.07526975595709766
jpn,age,monthly,vw_cap,-1,1679,25,1990-05-31,0.07271249613681174
jpn,age,monthly,vw_cap,-1,1683,25,1990-06-30,-0.09221570770829629
jpn,age,monthly,vw_cap,-1,1683,25,1990-07-31,0.03769780056011133
jpn,age,monthly,vw_cap,-1,1684,25,1990-08-31,-0.0446960734472161
jpn,age,monthly,vw_cap,-1,1688,25,1990-09-30,-0.06883857592846773
jpn,age,monthly,vw_cap,-1,1687,25,1990-10-31,0.015039616169593095
jpn,age,monthly,vw_cap,-1,1689,25,1990-11-30,-0.11692759771910355
jpn,age,monthly,vw_cap,-1,1690,25,1990-12-31,-0.025739612909242506
jpn,age,monthly,vw_cap,-1,1692,25,1991-01-31,-0.04442650257619802
jpn,age,monthly,vw_cap,-1,1695,25,1991-02-28,0.15943777424788086
jpn,age,monthly,vw_cap,-1,1703,25,1991-03-31,-0.03762992188280852
jpn,age,monthly,vw_cap,-1,1701,25,1991-04-30,-0.03193402586380488
jpn,age,monthly,vw_cap,-1,1698,25,1991-05-31,-0.010429619589669498
jpn,age,monthly,vw_cap,-1,1699,25,1991-06-30,-0.0470934632256796
jpn,age,monthly,vw_cap,-1,1698,25,1991-07-31,-0.010279752838738308
jpn,age,monthly,vw_cap,-1,1696,25,1991-08-31,-0.02570376923967599
jpn,age,monthly,vw_cap,-1,1696,25,1991-09-30,0.009042899495040044
jpn,age,monthly,vw_cap,-1,1697,25,1991-10-31,0.05634525276094108
jpn,age,monthly,vw_cap,-1,1700,25,1991-11-30,-0.041866944966982636
jpn,age,monthly,vw_cap,-1,1698,25,1991-12-31,0.015228169619273625
jpn,age,monthly,vw_cap,-1,1710,25,1992-01-31,-0.03402329354937053
jpn,age,monthly,vw_cap,-1,1708,25,1992-02-29,-0.01958894698645223
jpn,age,monthly,vw_cap,-1,1707,25,1992-03-31,-0.06154543122601036
jpn,age,monthly,vw_cap,-1,1704,24,1992-04-30,-0.05771012354755656
jpn,age,monthly,vw_cap,-1,1709,24,1992-05-31,0.0480655090958161
jpn,age,monthly,vw_cap,-1,1716,23,1992-06-30,-0.025982953710236054
jpn,age,monthly,vw_cap,-1,1712,23,1992-07-31,0.004582487432519482
jpn,age,monthly,vw_cap,-1,1712,23,1992-08-31,0.005524239987366009
jpn,age,monthly,vw_cap,-1,1716,23,1992-09-30,-0.00035355376640365185
jpn,age,monthly,vw_cap,-1,1719,24,1992-10-31,-0.06416712553103857
jpn,age,monthly,vw_cap,-1,1718,24,1992-11-30,-0.038109316521465486
jpn,age,monthly,vw_cap,-1,1736,24,1992-12-31,0.009389462778446312
jpn,age,monthly,vw_cap,-1,1746,24,1993-01-31,-0.006662161500302232
jpn,age,monthly,vw_cap,-1,1746,24,1993-02-28,0.01411018718196596
jpn,age,monthly,vw_cap,-1,1749,24,1993-03-31,0.03273269961000075
jpn,age,monthly,vw_cap,-1,1746,24,1993-04-30,0.06492368382478339
jpn,age,monthly,vw_cap,-1,1745,24,1993-05-31,0.07847973912156386
jpn,age,monthly,vw_cap,-1,1747,23,1993-06-30,-0.03660004655768381
jpn,age,monthly,vw_cap,-1,1747,23,1993-07-31,-0.06163243608233792
jpn,age,monthly,vw_cap,-1,1748,24,1993-08-31,0.005169557565358775
jpn,age,monthly,vw_cap,-1,1753,23,1993-09-30,-0.07625099142670773
jpn,age,monthly,vw_cap,-1,2046,35,1993-10-31,-0.10119494686297306
jpn,age,monthly,vw_cap,-1,2046,36,1993-11-30,-0.010045845834380701
jpn,age,monthly,vw_cap,-1,2047,35,1993-12-31,-0.001736494857947522
jpn,age,monthly,vw_cap,-1,2055,35,1994-01-31,0.05046139650921058
jpn,age,monthly,vw_cap,-1,2056,36,1994-02-28,0.01808162608901384
jpn,age,monthly,vw_cap,-1,2066,36,1994-03-31,0.016335554775701408
jpn,age,monthly,vw_cap,-1,2067,36,1994-04-30,0.05511201885739635
jpn,age,monthly,vw_cap,-1,2069,36,1994-05-31,0.021176743130135994
jpn,age,monthly,vw_cap,-1,2072,36,1994-06-30,0.015500974849627522
jpn,age,monthly,vw_cap,-1,2074,36,1994-07-31,-0.030163964860636862
jpn,age,monthly,vw_cap,-1,2078,36,1994-08-31,-0.006045622601877782
jpn,age,monthly,vw_cap,-1,2180,38,1994-09-30,-0.03866667815681851
jpn,age,monthly,vw_cap,-1,2182,38,1994-10-31,0.043599724471631636
jpn,age,monthly,vw_cap,-1,2189,38,1994-11-30,-0.030673868632387677
jpn,age,monthly,vw_cap,-1,2198,38,1994-12-31,0.01904492643602263
jpn,age,monthly,vw_cap,-1,2204,38,1995-01-31,-0.02804504316068883
jpn,age,monthly,vw_cap,-1,2659,56,1995-02-28,0.022858142989839486
jpn,age,monthly,vw_cap,-1,2662,54,1995-03-31,-0.015694393388970884
jpn,age,monthly,vw_cap,-1,2665,53,1995-04-30,0.015309851332192634
jpn,age,monthly,vw_cap,-1,2685,54,1995-05-31,-0.01709068502221875
jpn,age,monthly,vw_cap,-1,2686,54,1995-06-30,-0.06212306340770572
jpn,age,monthly,vw_cap,-1,2706,55,1995-07-31,-0.023986170097402906
jpn,age,monthly,vw_cap,-1,2720,55,1995-08-31,0.04536155033152093
jpn,age,monthly,vw_cap,-1,2728,54,1995-09-30,-0.008172039835034286
jpn,age,monthly,vw_cap,-1,2746,53,1995-10-31,-0.04013732305516008
jpn,age,monthly,vw_cap,-1,2776,52,1995-11-30,-0.016341473652376922
jpn,age,monthly,vw_cap,-1,2791,52,1995-12-31,0.020143753262395217
jpn,age,monthly,vw_cap,-1,2800,52,1996-01-31,-0.0020051066083135926
jpn,age,monthly,vw_cap,-1,2804,52,1996-02-29,-0.02304800880528285
jpn,age,monthly,vw_cap,-1,2822,51,1996-03-31,0.04738098954096015
jpn,age,monthly,vw_cap,-1,2831,51,1996-04-30,0.003714417308924134
jpn,age,monthly,vw_cap,-1,2841,52,1996-05-31,0.0044682789761423605
jpn,age,monthly,vw_cap,-1,2841,52,1996-06-30,-0.010388734882468414
jpn,age,monthly,vw_cap,-1,2843,52,1996-07-31,-0.01707397379031464
jpn,age,monthly,vw_cap,-1,2850,52,1996-08-31,0.02185303476745763
jpn,age,monthly,vw_cap,-1,2868,52,1996-09-30,-0.05300550397064055
jpn,age,monthly,vw_cap,-1,2888,52,1996-10-31,-0.009162284724006264
jpn,age,monthly,vw_cap,-1,2905,51,1996-11-30,-0.057316381597865874
jpn,age,monthly,vw_cap,-1,2932,51,1996-12-31,0.024691520706339433
jpn,age,monthly,vw_cap,-1,2948,52,1997-01-31,-0.016147618368340375
jpn,age,monthly,vw_cap,-1,2944,52,1997-02-28,-0.03450511407609512
jpn,age,monthly,vw_cap,-1,2954,52,1997-03-31,0.0010598234184536204
jpn,age,monthly,vw_cap,-1,2963,51,1997-04-30,-0.06705111273399977
jpn,age,monthly,vw_cap,-1,2975,50,1997-05-31,0.06900998021394814
jpn,age,monthly,vw_cap,-1,2979,49,1997-06-30,-0.045093380133488827
jpn,age,monthly,vw_cap,-1,2987,50,1997-07-31,-0.035718317309422085
jpn,age,monthly,vw_cap,-1,2992,50,1997-08-31,-0.004049879281016439
jpn,age,monthly,vw_cap,-1,3006,50,1997-09-30,-0.05461920861722637
jpn,age,monthly,vw_cap,-1,3044,51,1997-10-31,0.09543373756320167
jpn,age,monthly,vw_cap,-1,3055,51,1997-11-30,-0.12315486085146456
jpn,age,monthly,vw_cap,-1,3065,51,1997-12-31,0.1642815557604832
jpn,age,monthly,vw_cap,-1,3079,51,1998-01-31,0.0012671731069283376
jpn,age,monthly,vw_cap,-1,3083,51,1998-02-28,-0.07868542945252528
jpn,age,monthly,vw_cap,-1,3087,51,1998-03-31,-0.0031510363819713116
jpn,age,monthly,vw_cap,-1,3084,51,1998-04-30,-0.009232526060150403
jpn,age,monthly,vw_cap,-1,3074,51,1998-05-31,-0.08615850080149731
jpn,age,monthly,vw_cap,-1,3077,51,1998-06-30,0.012561459785198539
jpn,age,monthly,vw_cap,-1,3093,51,1998-07-31,-0.0468882447778827
jpn,age,monthly,vw_cap,-1,3099,51,1998-08-31,0.02243335624365471
