location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
nld,age,monthly,vw_cap,-1,36,1,1986-01-31,-0.019009112525818186
nld,age,monthly,vw_cap,-1,36,1,1986-02-28,-0.14726205397660916
nld,age,monthly,vw_cap,-1,36,1,1986-03-31,-0.04081125864031459
nld,age,monthly,vw_cap,-1,36,1,1986-04-30,0.10152947282484566
nld,age,monthly,vw_cap,-1,36,1,1986-05-31,-0.13121877701352389
nld,age,monthly,vw_cap,-1,36,1,1986-06-30,0.08890677285450593
nld,age,monthly,vw_cap,-1,36,1,1986-07-31,0.08537135039201099
nld,age,monthly,vw_cap,-1,36,1,1986-08-31,-0.08449431352221842
nld,age,monthly,vw_cap,-1,36,1,1986-09-30,-0.01958140589489976
nld,age,monthly,vw_cap,-1,35,1,1986-10-31,-0.002248028468145556
nld,age,monthly,vw_cap,-1,35,1,1986-11-30,-0.11718467839053755
nld,age,monthly,vw_cap,-1,35,1,1986-12-31,-0.6795348128721129
nld,age,monthly,vw_cap,-1,36,1,1987-01-31,-0.062980637873774
nld,age,monthly,vw_cap,-1,36,1,1987-02-28,-0.010833388299638907
nld,age,monthly,vw_cap,-1,36,1,1987-03-31,-0.021179044476163013
nld,age,monthly,vw_cap,-1,35,4,1987-04-30,-0.004550396611339259
nld,age,monthly,vw_cap,-1,35,4,1987-05-31,-0.0723100619251039
nld,age,monthly,vw_cap,-1,35,4,1987-06-30,0.009065426320027242
nld,age,monthly,vw_cap,-1,35,4,1987-07-31,0.019482445103549566
nld,age,monthly,vw_cap,-1,34,4,1987-08-31,0.045931484538279
nld,age,monthly,vw_cap,-1,33,4,1987-09-30,-0.017117537029427962
nld,age,monthly,vw_cap,-1,34,4,1987-10-31,-0.01825141852035453
nld,age,monthly,vw_cap,-1,34,4,1987-11-30,-0.019658572095171023
nld,age,monthly,vw_cap,-1,34,4,1987-12-31,0.04622666472268475
nld,age,monthly,vw_cap,-1,34,4,1988-01-31,-0.004222564958110846
nld,age,monthly,vw_cap,-1,34,4,1988-02-29,0.03947738401276297
nld,age,monthly,vw_cap,-1,34,4,1988-03-31,0.029449106241614495
nld,age,monthly,vw_cap,-1,34,4,1988-04-30,-0.015255961652649131
nld,age,monthly,vw_cap,-1,34,4,1988-05-31,0.020443259093831455
nld,age,monthly,vw_cap,-1,34,4,1988-06-30,0.01678614257012838
nld,age,monthly,vw_cap,-1,35,4,1988-07-31,0.04238113732966064
nld,age,monthly,vw_cap,-1,35,4,1988-08-31,-0.00964521978988879
nld,age,monthly,vw_cap,-1,35,4,1988-09-30,0.011295080610862887
nld,age,monthly,vw_cap,-1,35,4,1988-10-31,0.024995031330578538
nld,age,monthly,vw_cap,-1,35,4,1988-11-30,0.004757259228222455
nld,age,monthly,vw_cap,-1,36,4,1988-12-31,-0.018119071100876613
nld,age,monthly,vw_cap,-1,37,4,1989-01-31,-0.04675006038943964
nld,age,monthly,vw_cap,-1,37,4,1989-02-28,0.012366657006526696
nld,age,monthly,vw_cap,-1,38,4,1989-03-31,-0.017828471997573838
nld,age,monthly,vw_cap,-1,41,4,1989-04-30,0.027199064896085347
nld,age,monthly,vw_cap,-1,41,4,1989-05-31,-0.032151594852648055
nld,age,monthly,vw_cap,-1,41,4,1989-06-30,0.03709620600452401
nld,age,monthly,vw_cap,-1,43,4,1989-07-31,-0.04947388309853615
nld,age,monthly,vw_cap,-1,122,5,1989-08-31,-0.005667609765114434
nld,age,monthly,vw_cap,-1,123,6,1989-09-30,-0.027341148918398547
nld,age,monthly,vw_cap,-1,122,5,1989-10-31,0.0283487517432038
nld,age,monthly,vw_cap,-1,122,5,1989-11-30,-0.05418913580962217
nld,age,monthly,vw_cap,-1,123,6,1989-12-31,-0.01975882430411771
nld,age,monthly,vw_cap,-1,122,5,1990-01-31,0.004415601639250755
nld,age,monthly,vw_cap,-1,120,5,1990-02-28,-0.025265993948034145
nld,age,monthly,vw_cap,-1,119,5,1990-03-31,0.007217119712939618
nld,age,monthly,vw_cap,-1,119,4,1990-04-30,-0.0017939323017832957
nld,age,monthly,vw_cap,-1,127,5,1990-05-31,-0.08980307632680407
nld,age,monthly,vw_cap,-1,127,5,1990-06-30,0.057842046832598
nld,age,monthly,vw_cap,-1,128,5,1990-07-31,-0.014325225003505297
nld,age,monthly,vw_cap,-1,126,4,1990-08-31,0.08935130747137549
nld,age,monthly,vw_cap,-1,125,5,1990-09-30,0.04241162168513435
nld,age,monthly,vw_cap,-1,125,5,1990-10-31,-0.1419728722068026
nld,age,monthly,vw_cap,-1,126,5,1990-11-30,-0.05317531065763666
nld,age,monthly,vw_cap,-1,126,5,1990-12-31,0.020414493895005444
nld,age,monthly,vw_cap,-1,125,4,1991-01-31,-0.04820243127922515
nld,age,monthly,vw_cap,-1,128,5,1991-02-28,-0.0895015102322691
nld,age,monthly,vw_cap,-1,129,4,1991-03-31,-0.18833671985205921
nld,age,monthly,vw_cap,-1,130,4,1991-04-30,-0.025810531267078135
nld,age,monthly,vw_cap,-1,132,5,1991-05-31,-0.1909107637478759
nld,age,monthly,vw_cap,-1,129,4,1991-06-30,-0.0055960537517831255
nld,age,monthly,vw_cap,-1,128,4,1991-07-31,-0.14452180657381003
nld,age,monthly,vw_cap,-1,129,5,1991-08-31,-0.02277906358343403
nld,age,monthly,vw_cap,-1,130,5,1991-09-30,-0.23020914209101823
nld,age,monthly,vw_cap,-1,151,10,1991-10-31,-0.20562188737224077
nld,age,monthly,vw_cap,-1,151,11,1991-11-30,0.06141831093884248
nld,age,monthly,vw_cap,-1,151,10,1991-12-31,0.03111364171664808
nld,age,monthly,vw_cap,-1,152,9,1992-01-31,-0.03141003622737111
nld,age,monthly,vw_cap,-1,148,9,1992-02-29,-0.03872760281790347
nld,age,monthly,vw_cap,-1,150,9,1992-03-31,-0.006168628304017081
nld,age,monthly,vw_cap,-1,152,9,1992-04-30,-0.02524741716369011
nld,age,monthly,vw_cap,-1,150,8,1992-05-31,-0.052542982152979395
nld,age,monthly,vw_cap,-1,152,9,1992-06-30,0.04410957187603637
nld,age,monthly,vw_cap,-1,153,9,1992-07-31,0.03113109138820752
nld,age,monthly,vw_cap,-1,150,8,1992-08-31,0.022291406720566738
nld,age,monthly,vw_cap,-1,148,8,1992-09-30,-0.051877632679485405
nld,age,monthly,vw_cap,-1,154,9,1992-10-31,0.07486169715583443
nld,age,monthly,vw_cap,-1,155,9,1992-11-30,-0.02129825070495257
nld,age,monthly,vw_cap,-1,155,7,1992-12-31,-0.006842559390252743
nld,age,monthly,vw_cap,-1,158,8,1993-01-31,-0.030372532075549574
nld,age,monthly,vw_cap,-1,155,6,1993-02-28,-0.049260318934669554
nld,age,monthly,vw_cap,-1,155,6,1993-03-31,-0.0386414256912266
nld,age,monthly,vw_cap,-1,154,6,1993-04-30,0.0681622605180579
nld,age,monthly,vw_cap,-1,156,7,1993-05-31,-0.050073695643354114
nld,age,monthly,vw_cap,-1,157,7,1993-06-30,-0.047571959182000745
nld,age,monthly,vw_cap,-1,155,7,1993-07-31,-0.25063420512163315
nld,age,monthly,vw_cap,-1,152,6,1993-08-31,-0.13225633611277474
nld,age,monthly,vw_cap,-1,157,7,1993-09-30,-0.12164005256562428
nld,age,monthly,vw_cap,-1,159,7,1993-10-31,-0.07789496622193454
nld,age,monthly,vw_cap,-1,159,7,1993-11-30,-0.00677965373162261
nld,age,monthly,vw_cap,-1,158,6,1993-12-31,-0.07070535974086273
nld,age,monthly,vw_cap,-1,160,6,1994-01-31,0.12364476413398941
nld,age,monthly,vw_cap,-1,158,6,1994-02-28,0.07621503925816558
