location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
twn,age,monthly,vw_cap,-1,85,25,1988-02-29,-0.021555511504814967
twn,age,monthly,vw_cap,-1,85,25,1988-03-31,0.01231238082883548
twn,age,monthly,vw_cap,-1,85,25,1988-04-30,0.05147716885836695
twn,age,monthly,vw_cap,-1,86,25,1988-05-31,-0.07755506522775966
twn,age,monthly,vw_cap,-1,87,26,1988-06-30,-0.1347351599976387
twn,age,monthly,vw_cap,-1,87,26,1988-07-31,-0.12806026876748022
twn,age,monthly,vw_cap,-1,87,25,1988-08-31,0.09278490402090361
twn,age,monthly,vw_cap,-1,115,28,1988-09-30,0.08169349703722156
twn,age,monthly,vw_cap,-1,116,29,1988-10-31,0.1199517028709424
twn,age,monthly,vw_cap,-1,117,29,1988-11-30,0.18762837279105302
twn,age,monthly,vw_cap,-1,118,29,1988-12-31,0.29276352836220026
twn,age,monthly,vw_cap,-1,129,33,1989-01-31,-0.0886769205719641
twn,age,monthly,vw_cap,-1,130,33,1989-02-28,0.129392376407216
twn,age,monthly,vw_cap,-1,131,33,1989-03-31,-0.02116023565026101
twn,age,monthly,vw_cap,-1,132,33,1989-04-30,0.10536181013153212
twn,age,monthly,vw_cap,-1,132,33,1989-05-31,0.03599455271522978
twn,age,monthly,vw_cap,-1,132,33,1989-06-30,0.008312627813980955
twn,age,monthly,vw_cap,-1,132,33,1989-07-31,0.17475229634067185
twn,age,monthly,vw_cap,-1,132,33,1989-08-31,0.04954018281675683
twn,age,monthly,vw_cap,-1,132,33,1989-09-30,-0.01687229874451835
twn,age,monthly,vw_cap,-1,132,33,1989-10-31,0.060637928653738314
twn,age,monthly,vw_cap,-1,132,33,1989-11-30,0.035865654390503515
twn,age,monthly,vw_cap,-1,132,33,1989-12-31,-0.0928662167300162
twn,age,monthly,vw_cap,-1,132,33,1990-01-31,-0.1123613816122352
twn,age,monthly,vw_cap,-1,132,33,1990-02-28,0.03902587243918287
twn,age,monthly,vw_cap,-1,132,33,1990-03-31,0.035759141783528514
twn,age,monthly,vw_cap,-1,132,33,1990-04-30,-0.024057380599877193
twn,age,monthly,vw_cap,-1,139,36,1990-05-31,-0.07289776216577401
twn,age,monthly,vw_cap,-1,139,36,1990-06-30,-0.05980651996847286
twn,age,monthly,vw_cap,-1,147,38,1990-07-31,0.046859971510410575
twn,age,monthly,vw_cap,-1,146,37,1990-08-31,-0.026450862617976467
twn,age,monthly,vw_cap,-1,146,37,1990-09-30,-0.0432884103255442
twn,age,monthly,vw_cap,-1,146,37,1990-10-31,-0.03355731774812182
twn,age,monthly,vw_cap,-1,146,37,1990-11-30,0.0877443553565464
twn,age,monthly,vw_cap,-1,145,37,1990-12-31,-0.06684984638722337
twn,age,monthly,vw_cap,-1,107,25,1991-01-31,0.05231399586098147
twn,age,monthly,vw_cap,-1,108,25,1991-02-28,0.04799333616639459
twn,age,monthly,vw_cap,-1,121,29,1991-03-31,0.09709838868899959
twn,age,monthly,vw_cap,-1,122,29,1991-04-30,0.01906990748381876
twn,age,monthly,vw_cap,-1,122,29,1991-05-31,0.015111607964472445
twn,age,monthly,vw_cap,-1,150,39,1991-06-30,0.025914924760522408
twn,age,monthly,vw_cap,-1,150,39,1991-07-31,0.017777477927321594
twn,age,monthly,vw_cap,-1,150,39,1991-08-31,-0.03467043165444844
twn,age,monthly,vw_cap,-1,151,40,1991-09-30,-0.017342459108048054
twn,age,monthly,vw_cap,-1,156,40,1991-10-31,-0.0021586520904679496
twn,age,monthly,vw_cap,-1,156,40,1991-11-30,0.016452342212871222
twn,age,monthly,vw_cap,-1,156,40,1991-12-31,-0.010540621728876334
twn,age,monthly,vw_cap,-1,155,39,1992-01-31,0.10875744957270059
twn,age,monthly,vw_cap,-1,155,39,1992-02-29,0.01565705688842546
twn,age,monthly,vw_cap,-1,155,39,1992-03-31,-0.007384892117508764
twn,age,monthly,vw_cap,-1,156,37,1992-04-30,0.015561702347625023
twn,age,monthly,vw_cap,-1,156,37,1992-05-31,0.016187685842440045
twn,age,monthly,vw_cap,-1,156,37,1992-06-30,-0.02895376214689746
twn,age,monthly,vw_cap,-1,157,37,1992-07-31,-0.0163090348976848
twn,age,monthly,vw_cap,-1,158,37,1992-08-31,-0.016635425144594464
twn,age,monthly,vw_cap,-1,158,37,1992-09-30,-0.09165026942886961
twn,age,monthly,vw_cap,-1,179,43,1992-10-31,0.004107200707843093
twn,age,monthly,vw_cap,-1,181,43,1992-11-30,-0.04075131547005562
twn,age,monthly,vw_cap,-1,183,43,1992-12-31,-0.04278685022681063
twn,age,monthly,vw_cap,-1,184,43,1993-01-31,0.016761174597482408
twn,age,monthly,vw_cap,-1,183,43,1993-02-28,0.004807495519636273
twn,age,monthly,vw_cap,-1,184,43,1993-03-31,0.05885763523750916
twn,age,monthly,vw_cap,-1,184,42,1993-04-30,0.0001946268781782695
twn,age,monthly,vw_cap,-1,185,43,1993-05-31,-0.06628597415580838
twn,age,monthly,vw_cap,-1,189,44,1993-06-30,-0.04339688483146428
twn,age,monthly,vw_cap,-1,198,45,1993-07-31,0.01367477932246601
twn,age,monthly,vw_cap,-1,195,42,1993-08-31,-0.0607379942701047
twn,age,monthly,vw_cap,-1,195,42,1993-09-30,-0.02738077201463626
twn,age,monthly,vw_cap,-1,197,44,1993-10-31,0.016480650235757198
twn,age,monthly,vw_cap,-1,253,55,1993-11-30,-0.03661670990091605
twn,age,monthly,vw_cap,-1,254,53,1993-12-31,-0.16297413883269216
twn,age,monthly,vw_cap,-1,254,52,1994-01-31,0.011221579226222652
twn,age,monthly,vw_cap,-1,254,52,1994-02-28,0.03147034493939058
twn,age,monthly,vw_cap,-1,255,52,1994-03-31,0.0016555327623519883
twn,age,monthly,vw_cap,-1,255,52,1994-04-30,-0.006953647643477293
twn,age,monthly,vw_cap,-1,254,51,1994-05-31,-0.03199412320038841
twn,age,monthly,vw_cap,-1,252,49,1994-06-30,-0.0017285914185315304
twn,age,monthly,vw_cap,-1,251,48,1994-07-31,-0.0458872476188807
twn,age,monthly,vw_cap,-1,249,46,1994-08-31,-0.01187911523574603
twn,age,monthly,vw_cap,-1,250,47,1994-09-30,-0.004799430182121343
twn,age,monthly,vw_cap,-1,252,48,1994-10-31,-0.07254347274405981
twn,age,monthly,vw_cap,-1,252,48,1994-11-30,-0.011703833383001641
twn,age,monthly,vw_cap,-1,251,47,1994-12-31,0.06982396978083935
twn,age,monthly,vw_cap,-1,245,44,1995-01-31,-0.019189810599339746
twn,age,monthly,vw_cap,-1,279,49,1995-02-28,0.03125932146479107
twn,age,monthly,vw_cap,-1,280,49,1995-03-31,-0.03207550363623813
twn,age,monthly,vw_cap,-1,284,49,1995-04-30,-0.002427951364305514
twn,age,monthly,vw_cap,-1,287,49,1995-05-31,-0.03270270498453047
twn,age,monthly,vw_cap,-1,305,54,1995-06-30,-0.035744737465686946
twn,age,monthly,vw_cap,-1,304,53,1995-07-31,-0.020958950006092533
twn,age,monthly,vw_cap,-1,304,53,1995-08-31,-0.047396032363348176
twn,age,monthly,vw_cap,-1,325,59,1995-09-30,0.033619502249929406
twn,age,monthly,vw_cap,-1,327,59,1995-10-31,0.03204986253954585
twn,age,monthly,vw_cap,-1,327,59,1995-11-30,-0.03640384737748904
twn,age,monthly,vw_cap,-1,329,59,1995-12-31,-0.012446965090131795
twn,age,monthly,vw_cap,-1,342,61,1996-01-31,-0.01972020783267482
twn,age,monthly,vw_cap,-1,342,61,1996-02-29,-0.03153978708746519
twn,age,monthly,vw_cap,-1,349,62,1996-03-31,-0.0036451499956107677
twn,age,monthly,vw_cap,-1,355,64,1996-04-30,-0.006716755033640387
twn,age,monthly,vw_cap,-1,354,63,1996-05-31,-0.007196835980391586
twn,age,monthly,vw_cap,-1,354,63,1996-06-30,-0.04549207338744529
twn,age,monthly,vw_cap,-1,353,62,1996-07-31,0.05093206965840284
twn,age,monthly,vw_cap,-1,359,64,1996-08-31,-0.03852083487706679
twn,age,monthly,vw_cap,-1,359,64,1996-09-30,0.006645533287284726
twn,age,monthly,vw_cap,-1,359,64,1996-10-31,0.03438477556915462
twn,age,monthly,vw_cap,-1,359,64,1996-11-30,-0.03374737906476505
twn,age,monthly,vw_cap,-1,360,65,1996-12-31,0.025476552707365322
twn,age,monthly,vw_cap,-1,378,65,1997-01-31,0.02604722855335808
twn,age,monthly,vw_cap,-1,379,66,1997-02-28,0.009788194161807054
twn,age,monthly,vw_cap,-1,379,66,1997-03-31,0.03131329011635847
twn,age,monthly,vw_cap,-1,378,65,1997-04-30,0.00582900101343644
twn,age,monthly,vw_cap,-1,378,65,1997-05-31,-0.042064605724495926
twn,age,monthly,vw_cap,-1,378,65,1997-06-30,-0.05736161263740441
twn,age,monthly,vw_cap,-1,386,66,1997-07-31,-0.08260242247228468
twn,age,monthly,vw_cap,-1,388,66,1997-08-31,-0.0039898862748387505
twn,age,monthly,vw_cap,-1,390,65,1997-09-30,0.045702215055668974
twn,age,monthly,vw_cap,-1,388,63,1997-10-31,0.06866297427884455
twn,age,monthly,vw_cap,-1,387,62,1997-11-30,-0.02162797645601996
twn,age,monthly,vw_cap,-1,388,62,1997-12-31,0.04167154662058791
twn,age,monthly,vw_cap,-1,389,62,1998-01-31,0.0014387635813772615
twn,age,monthly,vw_cap,-1,392,61,1998-02-28,0.009373023511480144
twn,age,monthly,vw_cap,-1,393,61,1998-03-31,0.0460910552926396
twn,age,monthly,vw_cap,-1,395,63,1998-04-30,0.02995385584395613
twn,age,monthly,vw_cap,-1,394,63,1998-05-31,0.0228583088515961
twn,age,monthly,vw_cap,-1,395,63,1998-06-30,0.04653024228240679
twn,age,monthly,vw_cap,-1,395,63,1998-07-31,-0.12136497714540193
twn,age,monthly,vw_cap,-1,395,63,1998-08-31,0.0005846310222443474
twn,age,monthly,vw_cap,-1,395,63,1998-09-30,-0.010794623823028808
twn,age,monthly,vw_cap,-1,394,61,1998-10-31,-0.0440457720404637
twn,age,monthly,vw_cap,-1,394,61,1998-11-30,-0.16785837323950847
twn,age,monthly,vw_cap,-1,385,57,1998-12-31,-0.14167187768502573
twn,age,monthly,vw_cap,-1,384,56,1999-01-31,-0.020719314896819024
twn,age,monthly,vw_cap,-1,384,56,1999-02-28,-0.066708395928949
twn,age,monthly,vw_cap,-1,385,57,1999-03-31,-0.03805189630091962
twn,age,monthly,vw_cap,-1,384,56,1999-04-30,-0.006697158314310836
twn,age,monthly,vw_cap,-1,384,56,1999-05-31,-0.0892027392043072
twn,age,monthly,vw_cap,-1,386,56,1999-06-30,-0.138638747225259
twn,age,monthly,vw_cap,-1,388,56,1999-07-31,0.023606860560222015
twn,age,monthly,vw_cap,-1,389,56,1999-08-31,-0.03833907679271961
twn,age,monthly,vw_cap,-1,391,58,1999-09-30,-0.03180628655044687
twn,age,monthly,vw_cap,-1,393,59,1999-10-31,-0.053939715881654526
twn,age,monthly,vw_cap,-1,397,59,1999-11-30,-0.049033638288842316
twn,age,monthly,vw_cap,-1,399,60,1999-12-31,-0.06656088425190936
twn,age,monthly,vw_cap,-1,397,58,2000-01-31,0.15219129136431922
twn,age,monthly,vw_cap,-1,398,57,2000-02-29,0.05296964719068814
twn,age,monthly,vw_cap,-1,405,60,2000-03-31,-0.036450204964615554
twn,age,monthly,vw_cap,-1,408,59,2000-04-30,-0.040059138076219636
twn,age,monthly,vw_cap,-1,411,59,2000-05-31,-0.07887660369709783
twn,age,monthly,vw_cap,-1,408,56,2000-06-30,-0.01044283148380902
twn,age,monthly,vw_cap,-1,426,57,2000-07-31,-0.07471736260712691
twn,age,monthly,vw_cap,-1,429,56,2000-08-31,-0.09188021856941213
twn,age,monthly,vw_cap,-1,429,56,2000-09-30,-0.03361364265883551
twn,age,monthly,vw_cap,-1,427,54,2000-10-31,0.012781607926245275
twn,age,monthly,vw_cap,-1,427,53,2000-11-30,-0.12323894181888859
twn,age,monthly,vw_cap,-1,423,51,2000-12-31,-0.04014717457737019
twn,age,monthly,vw_cap,-1,425,50,2001-01-31,0.08767127827907645
twn,age,monthly,vw_cap,-1,426,50,2001-02-28,0.12155310210760616
twn,age,monthly,vw_cap,-1,522,61,2001-03-31,0.03775118995409292
twn,age,monthly,vw_cap,-1,527,62,2001-04-30,0.00865130356399002
twn,age,monthly,vw_cap,-1,526,60,2001-05-31,-0.010702551344644193
twn,age,monthly,vw_cap,-1,572,61,2001-06-30,-0.031962336192142185
twn,age,monthly,vw_cap,-1,606,63,2001-07-31,-0.06941087825226633
