location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,age,monthly,vw_cap,-1,505,8,1926-02-28,-0.06611889303125122
usa,age,monthly,vw_cap,-1,513,16,1926-03-31,-0.09201240313745018
usa,age,monthly,vw_cap,-1,515,20,1926-04-30,-0.018321269986892704
usa,age,monthly,vw_cap,-1,518,25,1926-05-31,-0.009636417608871677
usa,age,monthly,vw_cap,-1,521,30,1926-06-30,0.0038819409584368164
usa,age,monthly,vw_cap,-1,524,32,1926-07-31,0.00013639929148341612
usa,age,monthly,vw_cap,-1,528,36,1926-08-31,-0.022941419486453347
usa,age,monthly,vw_cap,-1,530,38,1926-09-30,-0.0024897056248805124
usa,age,monthly,vw_cap,-1,529,40,1926-10-31,-0.010285935718413075
usa,age,monthly,vw_cap,-1,534,45,1926-11-30,-0.021821018135787174
usa,age,monthly,vw_cap,-1,536,46,1926-12-31,-0.0011749012808923952
usa,age,monthly,vw_cap,-1,537,49,1927-01-31,-0.0011196958017910914
usa,age,monthly,vw_cap,-1,545,55,1927-02-28,-0.011600537464836191
usa,age,monthly,vw_cap,-1,542,55,1927-03-31,0.011983244865968787
usa,age,monthly,vw_cap,-1,548,60,1927-04-30,-0.015004437387390277
usa,age,monthly,vw_cap,-1,547,61,1927-05-31,-0.0026162671453827113
usa,age,monthly,vw_cap,-1,554,67,1927-06-30,0.014527102693298983
usa,age,monthly,vw_cap,-1,559,73,1927-07-31,-0.025651178729148363
usa,age,monthly,vw_cap,-1,563,77,1927-08-31,0.004586452387208827
usa,age,monthly,vw_cap,-1,565,80,1927-09-30,0.023495911566500133
usa,age,monthly,vw_cap,-1,579,94,1927-10-31,-0.0010307362572502324
usa,age,monthly,vw_cap,-1,579,95,1927-11-30,-0.021702685779448547
usa,age,monthly,vw_cap,-1,579,99,1927-12-31,0.0024457760098972915
usa,age,monthly,vw_cap,-1,585,105,1928-01-31,0.01044128568491048
usa,age,monthly,vw_cap,-1,588,109,1928-02-29,0.009008104925937586
usa,age,monthly,vw_cap,-1,589,110,1928-03-31,-0.0008833038426987599
usa,age,monthly,vw_cap,-1,586,109,1928-04-30,0.035244629223128376
usa,age,monthly,vw_cap,-1,585,108,1928-05-31,0.021757018597954543
usa,age,monthly,vw_cap,-1,589,113,1928-06-30,-0.02912142433450174
usa,age,monthly,vw_cap,-1,590,115,1928-07-31,0.009213700563307912
usa,age,monthly,vw_cap,-1,594,119,1928-08-31,-0.023602138864064044
usa,age,monthly,vw_cap,-1,595,122,1928-09-30,0.023548672505007383
usa,age,monthly,vw_cap,-1,603,130,1928-10-31,-0.0015318813821333897
usa,age,monthly,vw_cap,-1,610,137,1928-11-30,-0.02393510194499658
usa,age,monthly,vw_cap,-1,618,145,1928-12-31,-0.0006838021034509343
usa,age,monthly,vw_cap,-1,624,152,1929-01-31,-0.005198899673921141
usa,age,monthly,vw_cap,-1,627,156,1929-02-28,-0.0007694957896679352
usa,age,monthly,vw_cap,-1,633,163,1929-03-31,-0.0013886609953345022
usa,age,monthly,vw_cap,-1,636,165,1929-04-30,0.007875976820415367
usa,age,monthly,vw_cap,-1,650,179,1929-05-31,-0.009617691653421273
usa,age,monthly,vw_cap,-1,663,196,1929-06-30,-0.015673447792468806
usa,age,monthly,vw_cap,-1,666,199,1929-07-31,0.0028441467921503615
usa,age,monthly,vw_cap,-1,670,201,1929-08-31,-0.03366881685121996
