date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-07-15,AAPL,AAPL,,1448245,1.3217,1.2296,325.6071
2026-07-15,ABBV,ABBV,,24058,8.9449,8.1867,246.4175
2026-07-15,ABNB,ABNB,,35268,7.7231,6.7481,149.3873
2026-07-15,ABT,ABT,,109012,2.9911,2.2586,88.9784
2026-07-15,ACN,ACN,,36993,12.4406,11.6195,137.9624
2026-07-15,ADBE,ADBE,,59275,6.6528,5.7733,226.2594
2026-07-15,AEP,AEP,,156894,3.8723,3.0139,133.5287
2026-07-15,AMAT,AMAT,,139496,13.8919,13.1118,574.9225
2026-07-15,AMD,AMD,,271677,7.8017,7.5732,525.7573
2026-07-15,AMGN,AMGN,,28793,8.3508,8.0824,358.2691
2026-07-15,AMT,AMT,,21033,8.9391,8.314,169.0227
2026-07-15,AMZN,AMZN,,1233973,2.0955,1.963,254.6938
2026-07-15,AON,AON,,15425,11.6424,10.0716,356.6054
2026-07-15,APD,APD,,13818,9.6777,9.1973,294.7359
2026-07-15,AVB,AVB,,12030,11.2839,10.5003,191.7719
2026-07-15,AVGO,AVGO,,220256,4.722,4.389,391.6521
2026-07-15,AXON,AXON,,16267,26.5941,21.6902,541.132
2026-07-15,AXP,AXP,,29469,6.0677,5.5325,360.4788
2026-07-15,BA,BA,,20098,9.2251,9.0404,219.076
2026-07-15,BAC,BAC,,392295,1.6746,1.6235,61.5985
2026-07-15,BKNG,BKNG,,310269,2.0072,1.6549,180.3982
2026-07-15,BLK,BLK,,20683,15.6625,14.6473,1095.9512
2026-07-15,BMY,BMY,,245420,2.5671,1.7107,58.5661
2026-07-15,BRK-B,BRK,B,31426,5.023,4.2661,490.0577
2026-07-15,C,C,,119179,3.9402,3.7209,134.0234
2026-07-15,CAT,CAT,,47510,10.965,10.1904,908.0578
2026-07-15,CB,CB,,29412,7.6928,6.5003,338.648
2026-07-15,CCI,CCI,,26954,7.567,7.4757,79.5505
2026-07-15,CDNS,CDNS,,25007,13.3682,12.4113,373.8545
2026-07-15,CEG,CEG,,37791,9.3424,8.1561,259.3596
2026-07-15,CHTR,CHTR,,16890,21.1775,19.5533,131.7796
2026-07-15,CI,CI,,15326,12.4454,10.6379,301.7415
2026-07-15,CL,CL,,29429,6.5743,5.4798,91.4736
2026-07-15,CMCSA,CMCS,A,114013,4.3089,4.24,23.5731
2026-07-15,CME,CME,,24508,5.3153,4.1031,245.6205
2026-07-15,CMG,CMG,,217999,2.9634,2.772,35.9486
2026-07-15,COIN,COIN,,82292,18.3164,18.5644,163.9825
2026-07-15,COP,COP,,177534,4.0726,3.6179,110.7147
2026-07-15,COST,COST,,30503,6.6413,6.3065,921.9652
2026-07-15,CRM,CRM,,48360,7.0265,6.3676,168.9906
2026-07-15,CRWD,CRWD,,84518,7.9188,6.7555,208.4582
2026-07-15,CSCO,CSCO,,379924,3.0142,2.696,112.036
